pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,Habitability Score,Terraformability Score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
K2-268 e,1.33,2.33,6.131243,801.0,5106.0,0.84,0.78,0.03,-0.2795087743783938,0.0873719089184195,1.317202781389564,-0.1521322623611224,43.644029938332494,48.872816428974424,0.7235,0.1397895290367123,812.1971412758405,14.824162353188264,0.11075668397914593,0.02230263122132754,0.0
NGTS-25 b,11.467,203.09235,2.823093,1101.0,5321.0,0.91,0.86,0.12,0.4723256649969553,0.5870514819522584,1.5445214350499823,-0.1390236337734689,44.530094922071854,74.80465586013881,0.6697500000000001,0.9991755950260085,1211.0092330123637,47.134607922150835,0.26630316704574714,0.0008673560554613272,0.0
EPIC 201427007 b,1.5,2.86,0.72091,912.5307146386988,5633.0,0.93,0.94,-0.053,0.0,-0.3734436973238986,1.271111111111111,-0.1547901990369546,50.10105508902153,55.911916397741976,0.59175,0.09760359895786853,921.4373428295321,15.46519533231529,0.9927743065446465,0.012419834202830866,0.0
TOI-1064 c,2.651,2.5,12.226574,634.0,4734.0,0.75,0.73,0.05,-0.6980299456306714,0.1984118140370504,0.3557300498406258,-0.2075768496489727,43.46827380000967,46.580043763677246,0.8165,0.19037413396876227,646.0697200936196,10.876349710508277,0.04524584785118399,0.04731114698554543,0.0
HD 125612 b,13.2,945.22168,557.69994,912.5307146386988,5900.0,1.05,1.07,0.23,0.0,1.1977709601047284,5.424825987144169,0.0847392222936336,42.70541035679894,88.03795371550393,0.525,1.0,1003.7837861025688,94.77589497399225,0.018370954437520327,0.0012162688938228221,0.0
K2-111 c,3.33,11.08,15.6805,912.5307146386988,5775.0,0.84,1.25,-0.46,0.0,-2.633105766488037,0.999197395593792,-0.1704704604110613,44.48847944082337,53.438902617491635,0.55625,0.1315168002067107,924.5320266066612,20.429878608056875,0.2488921651444838,0.007944080574200806,0.0
K2-165 c,1.554,3.03,4.382745,912.5307146386988,5185.0,0.83,0.8,-0.05,0.0,-0.356787711556104,1.2547020269027989,-0.1557364504197013,43.84637106158144,49.16263253860772,0.70375,0.0959582579315965,921.2872004072792,15.639174651617127,0.15496515852783177,0.012222202758062654,0.0
HD 205739 b,13.6,435.41,279.8,912.5307146386988,6176.0,1.22,1.33,0.19,0.0,0.9756911498674666,2.354076557093426,-0.092339574875456,42.970813601922636,80.09804457866335,0.45599999999999996,0.9999999973676796,1003.7837858623614,63.3720517355756,0.05397472949280643,0.0015310681747586362,0.0
HD 20868 b,13.7,397.2875,380.85001,912.5307146386988,4802.0,0.39,0.76,0.05,0.0,0.1984118140370504,2.1167217219883856,-0.1060269530416301,42.61341630529117,77.69415497944269,0.7995,0.9999999796333827,1003.7837842440524,60.31289702414613,0.005244486959367311,0.001570503770701971,0.0
HD 211810 b,14.0,212.9461,1558.0,912.5307146386988,5652.0,1.03,1.13,0.17,0.0,0.8646512447488358,1.086459693877551,-0.1654383654224308,42.64241051507422,72.28591351661261,0.587,0.9997323920959468,1003.7593660593758,43.68062563654509,0.008699154565765258,0.0018687851649435317,0.0
