pl_name,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,Habitability Score,Terraformability Score
HD 20794 f,1,1,4,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,647.6,1.3541,0.0,0.0,0.0,0.0,5.82,0.01831,0.0,0.0,5.82,0.01831,0.0,0.45,0.0,0.0,0.0,2459933.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.0,0.0,5368.0,0.93,0.79,-0.42,-0.163,4.39,0.0,0.0,0.0,0.0,87.88,49.9997666,-43.0666533,-56.06514,250.73443,-58.11535,27.24413,3120.504737,3033.73,730.775,6.00278,166.561,4.966,4.26,3.032,2.709,2.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06635,0.0,3.5843,0.0,1,1,0,0,0,0,0,0.0,0.0
TOI-2328 b,1,1,1,0,0,2025,1,0,0,1,0,0,0,0,0,0,0,17.10197,0.127,9.976,0.89,50.85255,0.16,0.0,0.0,0.0,0.0,50.85255,0.16,0.29,0.057,0.0,842.0,88.66,2458330.489,0,0.688,0.0,0.0,0.0,0.102,0.0,0.0,148.7,13.29,0.0,0.0,5525.0,0.9,0.95,0.09,-0.17,4.5,4.0,1.8061,2.61,0.0,0.0,31.6907424,-81.247376,-35.3699,299.47864,-69.81704,292.03791,31.8482017,31.804,-1.67736,231.782,4.28555,13.37,12.331,10.842,10.458,10.395,0.0,0.0,0.0,0.0,0.0,10.315,10.354,10.232,9.288,12.1082,0.0,11.584,0.0,0,0,0,0,0,0,0,0.0,16.1
Gl 725 A b,1,2,1,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,11.2201,0.068,0.0,0.0,0.0,0.0,2.78,0.00875,0.0,0.0,2.78,0.00875,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2458597.7,0.0,1.67,0.0,0.0,3433.0,0.35,0.33,-0.19,-1.809,4.87,6.2,0.0,0.0,103.1,0.0,280.6834312,59.638109,24.23792,89.29524,81.58136,309.7902,2221.039622,-1311.91,1792.18,3.5214,283.949,0.0,8.94,5.189,4.741,4.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84944,0.0,6.724,0.0,1,1,0,3,0,0,0,0.0,0.0
KOBE-1 b,1,1,2,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,8.5399,0.07006,0.0,0.0,0.0,0.0,8.8,0.02769,0.0,0.0,8.8,0.02769,0.0,0.0,20.56,594.0,0.0,2459484.26,0,0.0,0.0,0.0,24.33,0.0,0.0,0.0,0.0,3.75,0.0,0.0,4135.0,0.62,0.63,-0.01,-0.996,5.07,0.0,0.0,2.0,37.4,-23.1,19.1660378,25.3310358,-37.18978,130.09141,15.93257,27.3908,441.1912779,429.063,-102.736,23.9718,41.6867,11.396,10.1,7.464,6.839,6.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.47126,0.0,8.6452,0.0,0,1,0,0,0,0,0,0.0,0.0
TOI-5027 b,1,1,1,0,0,2025,1,0,0,1,0,0,0,0,0,0,0,10.24368,0.093,10.761,0.96,642.01338,2.02,0.0,0.0,0.0,0.0,642.01338,2.02,2.94,0.385,0.0,1056.0,88.18,2458649.458,0,0.921,0.0,0.0,0.0,0.106,0.0,0.0,288.6,201.61,0.0,0.0,5909.0,0.92,1.02,-0.15,-0.031,4.52,0.4,1.821,4.52,0.0,0.0,243.8850212,-69.2170972,-13.16101,319.3888,-46.97445,256.76364,38.8373614,-22.023,-31.9895,204.429,4.8629,12.14,11.566,10.316,10.042,9.979,0.0,0.0,0.0,0.0,0.0,9.907,9.937,9.896,8.927,11.3341,0.0,10.9097,0.0,0,0,0,0,0,0,0,0.0,0.0
TOI-3837 b,1,1,1,0,0,2025,1,0,0,1,0,0,0,0,0,0,0,11.88865,0.099,10.873,0.97,187.51876,0.59,0.0,0.0,0.0,0.0,187.51876,0.59,0.82,0.221,0.0,1178.0,88.0,2458876.285,0,0.745,0.0,0.0,0.0,0.083,0.0,0.0,279.9,58.08,0.0,0.0,5905.0,1.2,0.89,-0.26,0.196,4.23,11.2,0.7339,3.47,0.0,0.0,152.6662832,24.2731213,53.82193,208.23456,12.16123,145.93131,62.5193041,50.3759,-37.0261,311.705,3.17985,12.682,11.673,10.715,10.401,10.316,15.2336,12.4346,11.8601,11.7626,12.0213,10.281,10.316,10.367,8.502,11.8041,0.0,11.366,0.0,0,0,0,0,0,0,0,0.0,0.0
GJ 2126 b,1,1,1,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,272.7,0.71,0.0,0.0,0.0,0.0,413.17693,1.3,0.0,0.0,413.17693,1.3,0.0,0.85,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2453371.0,10.0,101.0,0.0,0.0,4159.0,0.73,0.65,0.6,-0.845,4.53,0.0,0.0,0.0,0.0,0.0,257.3606793,-35.391719,2.76532,350.37986,-12.41305,259.47206,102.0643163,-46.6689,-90.7697,38.129,26.1982,11.959,10.7,8.283,7.643,7.557,0.0,0.0,0.0,0.0,0.0,7.533,7.551,6.915,4.615,10.1496,0.0,9.3703,0.0,0,0,0,0,0,0,0,0.0,0.0
HD 86728 b,1,1,1,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,31.1515,0.1916,0.0,0.0,0.0,0.0,9.43,0.02967,0.0,0.0,9.43,0.02967,0.0,0.067,0.0,0.0,0.0,2459260.69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.97,0.0,0.0,5610.0,1.24,0.97,0.2,0.135,4.25,0.0,0.0,2.4,0.0,0.0,150.250054,31.9218216,52.85093,195.01832,18.51763,140.99534,681.3341342,-528.807,-429.627,14.9202,66.9958,6.045,5.37988,4.267,4.04,3.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2094,0.0,4.7727,0.0,0,1,3,4,0,0,0,0.0,0.0
HD 73344 c,1,1,3,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,65.94,0.3388,0.0,0.0,0.0,0.0,118.55,0.373,0.0,0.0,118.55,0.373,0.0,0.124,0.0,0.0,0.0,2455482.98,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,16.36,0.0,0.0,6148.0,1.22,1.19,0.16,0.0,4.36,0.0,0.0,5.67,9.03,0.0,129.6894456,23.6852651,33.43766,201.24412,5.06302,125.94923,156.1167168,-47.3026,-148.778,35.26,28.3319,7.438,6.89351,5.836,5.64,5.567,0.0,0.0,0.0,0.0,0.0,5.582,5.421,5.619,5.536,6.7468,0.0,6.3687,6.793,0,1,0,0,0,0,0,0.0,0.0
HD 73344 d,1,1,3,0,0,2025,1,0,0,0,1,0,0,0,0,0,0,5823.0,6.7,0.0,0.0,810.46244,2.55,702.40078,2.21,0.0,0.0,810.46244,2.55,0.0,0.18,0.0,0.0,59.0,2444345.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2458061.0,58.9,22.7,0.0,0.0,6148.0,1.22,1.19,0.16,0.0,4.36,0.0,0.0,5.67,9.03,0.0,129.6894456,23.6852651,33.43766,201.24412,5.06302,125.94923,156.1167168,-47.3026,-148.778,35.26,28.3319,7.438,6.89351,5.836,5.64,5.567,0.0,0.0,0.0,0.0,0.0,5.582,5.421,5.619,5.536,6.7468,0.0,6.3687,6.793,0,1,0,0,0,0,0,0.0,0.0
